#{"t_start": 1783133417.3466227, "env_id": "None"}
r,l,t
10.93,115,8867.352823
11.34,122,8875.706131
10.04,123,8884.112921
10.66,125,8892.616343
10.96,120,8900.868173
11.76,143,8910.259903
10.01,121,8918.56612
10.06,123,8926.978781
10.05,126,8935.557289
9.89,128,8944.217981
9.99,121,8952.527644
9.89,123,8960.92824
10.52,120,8969.184524
10.2,120,8977.435968
10.95,116,8985.4916
9.44,122,8993.867626
9.67,120,9002.12172
11.43,127,9010.731637
9.44,119,9018.952566
10.64,122,9027.314909
10.12,120,9035.563228
9.78,120,9043.829413
9.8,130,9052.590363
9.7,123,9060.975513
11.15,122,9069.323473
9.55,118,9077.484159
9.85,114,9085.445439
10.26,140,9094.699147
9.36,135,9103.686524
10.89,120,9111.936071
11.49,121,9120.250401
10.87,113,9128.155028
11.51,136,9137.218066
11.01,119,9145.43197
11.13,123,9153.838526
10.4,139,9163.043656
9.96,126,9171.627178
10.17,139,9180.838402
10.6,125,9189.329017
11.45,123,9197.723811
10.85,128,9206.385049
11.21,139,9215.590929
10.35,131,9224.397683
10.54,117,9232.499794
10.22,114,9240.456049
9.98,120,9248.710241
10.08,125,9257.2161
10.62,125,9265.744159
10.64,115,9273.753622
9.72,122,9282.116776
10.09,120,9290.36982
11.17,123,9298.785353
11.15,117,9306.894686
10.97,138,9316.048217
10.26,113,9323.934748
10.54,114,9331.902375
10.83,131,9340.699223
10.87,119,9348.923679
10.88,121,9357.219886
9.69,120,9365.482377
9.99,117,9373.592614
10.96,116,9381.648707
9.48,118,9390.2689
10.43,126,9398.824742
9.89,127,9407.426151
10.94,126,9415.965268
11.35,115,9423.966653
9.63,127,9432.58047
10.42,129,9441.2834
9.66,123,9449.682951
10.38,132,9458.537097
10.21,130,9467.302581
9.77,119,9475.504034
9.64,126,9484.054764
11.82,139,9493.263097
10.13,160,9503.522835
9.87,138,9512.666931
10.01,124,9521.125031
9.53,116,9529.176006
10.03,119,9537.374681
10.04,119,9545.592712
9.46,121,9553.907164
10.33,125,9562.398164
10.95,125,9570.91539
9.84,127,9579.506655
9.95,123,9587.904546
10.55,125,9596.418589
10.13,125,9604.923001
10.65,126,9613.4854
10.16,119,9621.683597
10.33,119,9629.896628
9.96,131,9638.696878
10.54,118,9646.854645
9.76,154,9656.792669
25.11,296,9673.851864
9.95,113,9681.755722
11.13,124,9690.228897
11.43,138,9699.377388
9.33,123,9707.783566
11.27,142,9717.126403
10.41,189,9728.839344
10.03,123,9737.227325
10.16,147,9746.82842
9.8,113,9754.734259
11.43,190,9766.496354
10.95,114,9774.450005
9.98,113,9782.352046
10.31,128,9791.004104
10.1,121,9799.298469
10.5,121,9807.607053
11.57,128,9816.264768
9.71,122,9824.621292
10.95,160,9834.8671
9.74,125,9843.379715
11.17,121,9851.689639
11.22,192,9863.530761
10.32,129,9872.256107
11.25,116,9880.302647
10.05,109,9888.007015
9.63,126,9896.558603
11.32,136,9905.622516
11.23,129,9914.326762
10.51,120,9922.58267
10.95,115,9930.584551
10.49,130,9939.344825
10.28,141,9948.647451
10.03,131,9957.463559
9.89,130,9966.200242
11.26,165,9976.707253
9.81,118,9984.851494
10.8,155,9995.295774
9.97,127,10003.897359
11.25,129,10012.598116
10.23,125,10021.113067
107.2,1000,10073.366535
11.65,152,10083.225972
11.01,149,10092.931025
11.9,164,10103.38337
10.1,118,10111.549708
11.24,126,10120.11187
10.83,130,10128.861631
105.22,1000,10181.121142
11.49,130,10189.879683
10.87,130,10198.635806
12.73,182,10209.967913
90.41,992,10261.826385
10.11,124,10270.267737
23.42,282,10286.631016
10.96,122,10294.984536
91.96,1000,10347.248187
143.45,983,10398.662241
10.1,124,10407.10233
127.03,1000,10459.370057
10.21,123,10467.780195
9.39,117,10475.876058
11.2,123,10484.278927
23.72,243,10498.689951
133.27,1000,10550.953528
10.83,121,10559.252195
134.0,1000,10612.089679
138.76,1000,10664.342264
69.88,647,10698.960443
10.08,114,10706.909384
9.37,110,10714.659363
11.62,186,10726.213457
11.03,132,10735.069243
89.92,700,10772.304632
10.56,114,10780.270139
24.38,241,10794.567703
10.36,110,10802.331772
23.27,232,10816.169861
11.2,166,10826.732936
10.29,120,10834.991138
97.03,1000,10887.241849
81.37,1000,10939.492368
124.89,1000,10991.747017
141.28,1000,11043.998858
73.07,813,11086.905065
72.79,780,11128.155093
143.32,971,11179.018114
144.71,1000,11231.720737
139.05,1000,11283.982117
90.34,694,11320.941991
145.85,1000,11373.196468
158.49,1000,11425.443015
141.36,1000,11477.702487
146.82,1000,11529.965836
143.54,946,11579.506431
148.44,1000,11631.747509
150.91,1000,11684.00299
153.52,1000,11736.266047
143.48,968,11786.928449
149.19,1000,11839.17545
143.66,935,11888.180828
162.97,1000,11940.430247
168.68,1000,11992.686574
164.86,1000,12044.953671
143.26,852,12089.866743
157.5,1000,12142.116824
143.4,868,12187.772369
143.46,800,12230.034127
171.21,1000,12282.293935
143.46,819,12325.507143
16.02,146,12336.438059
156.05,1000,12389.211129
156.13,1000,12441.465909
143.56,871,12487.28284
150.76,1000,12539.542577
161.79,1000,12591.797022
147.83,1000,12644.051
143.89,808,12686.704044
143.55,788,12728.353534
88.68,537,12757.457576
88.52,577,12788.571663
167.17,1000,12840.827693
160.06,1000,12893.084616
143.16,830,12936.833213
159.27,1000,12989.766651
88.9,578,13020.919884
166.16,1000,13073.177141
143.92,807,13115.784398
143.88,792,13157.637152
89.21,593,13189.538317
89.18,559,13219.74151
169.11,1000,13272.00007
143.26,871,13317.802915
143.57,832,13361.657114
90.34,679,13397.873357
177.88,1000,13450.145545
177.14,1000,13502.407104
177.12,997,13554.516823
168.95,1000,13607.340046
170.47,1000,13659.586223
143.62,809,13702.297546
143.74,817,13745.388223
143.51,815,13788.396761
169.96,1000,13840.654161
90.43,580,13871.911013
165.46,1000,13924.172056
176.05,1000,13976.423252
169.87,1000,14028.685302
156.54,1000,14080.94632
143.75,800,14123.203441
143.59,818,14166.358041
177.75,1000,14219.207073
178.74,1000,14271.482864
143.23,856,14316.768256
143.74,814,14359.729809
143.6,770,14400.497773
143.45,840,14444.741488
176.52,1000,14496.999608
176.63,1000,14549.263088
176.58,1000,14601.800211
169.34,1000,14654.040373
143.47,770,14694.794347
177.31,1000,14747.049164
143.5,786,14789.047073
143.7,807,14831.807534
143.57,825,14875.303262
176.73,992,14927.156845
89.78,533,14956.052859
177.29,955,15006.051872
176.580001,1000,15058.309105
143.91,839,15102.5056
178.73,1000,15154.770121
89.34,571,15185.576221
144.0,756,15225.623632
88.59,532,15254.476671
143.86,753,15294.386957
176.37,1000,15346.642287
89.19,518,15374.80028
163.15,1000,15427.507951
143.89,796,15469.547188
143.79,813,15512.467655
177.85,1000,15564.725469
171.31,1000,15616.973641
177.37,1000,15669.239014
174.22,1000,15721.49832
143.41,760,15761.75049
177.09,1000,15814.002916
144.14,819,15857.204674
177.08,972,15908.055662
179.07,1000,15960.384501
176.99,1000,16013.14606
143.72,814,16056.081493
143.62,777,16097.186405
143.7,760,16137.436513
143.69,764,16177.895772
179.53,1000,16230.157496
176.69,1000,16282.427114
177.09,1000,16334.683421
143.72,776,16375.745428
143.59,780,16416.999761
143.7,747,16456.6129
170.83,1000,16508.876719
170.590001,1000,16561.142236
143.57,802,16604.068055
175.78,1000,16656.324867
172.07,1000,16708.578863
170.92,1000,16760.838829
144.300001,751,16800.643823
173.51,1000,16852.881446
177.28,1000,16905.140347
143.94,815,16948.142047
143.7,793,16990.058841
178.69,1000,17042.317014
172.44,1000,17094.556916
176.5,1000,17146.822507
178.07,1000,17199.586456
161.23,1000,17251.830726
143.68,773,17292.723151
89.31,526,17321.2821
163.03,1000,17373.682937
170.36,1000,17425.939858
177.54,943,17475.421907
144.01,723,17513.812628
177.25,1000,17566.055354
143.83,835,17610.846177
177.47,1000,17663.109041
165.63,1000,17715.363787
178.21,1000,17767.622088
161.56,1000,17820.537348
143.81,774,17861.508801
164.44,1000,17913.761575
144.04,769,17954.467205
143.7,744,17993.921092
143.75,819,18037.125793
177.41,1000,18089.370604
143.77,822,18132.73452
144.22,774,18173.678567
91.54,583,18205.075285
157.24,1000,18257.329048
